model,term,estimate,std.error,statistic,p.value
Binomial (zero part),(Intercept),-5.429952005213228,0.15490957186440962,-35.05239824667514,3.584542919651812e-269
Binomial (zero part),scale.native.global.tdwg3,0.7754057685079454,0.06189711842602104,12.52733226078536,5.291272279261818e-36
Binomial (zero part),scale.WorldCuP.n.tdwg3,1.6327483980889066,0.07266128973796379,22.47067735760042,8.035639787975447e-112
Binomial (zero part),scale.planting.China.tdwg3,0.4261770086053804,0.07422645997976494,5.741577986092311,9.379834333793674e-9
Binomial (zero part),life.form.integratedannual herb,2.0812882184141848,0.23779854823444432,8.752316756628193,2.0901674062093105e-18
Binomial (zero part),life.form.integratedperennial herb,1.1301570912526502,0.17691244664402753,6.388228260313892,1.6781871373391972e-10
Binomial (zero part),scale.native.global.tdwg3:life.form.integratedannual herb,0.7818494416880252,0.1221415782178694,6.401173565101683,1.5418717283281008e-10
Binomial (zero part),scale.native.global.tdwg3:life.form.integratedperennial herb,0.40254234518188736,0.07775032212530959,5.177372056840008,2.2503316460539378e-7
Binomial (zero part),scale.WorldCuP.n.tdwg3:life.form.integratedannual herb,-0.5910952209970047,0.12395523236179143,-4.768618554735627,1.8549350053044114e-6
Binomial (zero part),scale.WorldCuP.n.tdwg3:life.form.integratedperennial herb,-0.7390238455245297,0.08707727810665858,-8.486988357850594,2.1206100327943878e-17
Binomial (zero part),scale.planting.China.tdwg3:life.form.integratedannual herb,-0.288751961861032,0.11306099145060393,-2.5539486091203,0.010650897541105611
Binomial (zero part),scale.planting.China.tdwg3:life.form.integratedperennial herb,-0.12152021699587988,0.08660498864743167,-1.40315493245531,0.16057064333754364
Zero-truncated NB (count part),(Intercept):1,-1.9338720971849288,0.2207175581415523,-8.761750145607731,1.9224200661034567e-18
Zero-truncated NB (count part),(Intercept):2,-1.0626110178052828,0.09131590487091357,-11.636647737405834,2.6835715338345735e-31
Zero-truncated NB (count part),scale.native.global.tdwg3,0.14072342209428382,0.06345068083722384,2.217839434304814,0.02656578229032119
Zero-truncated NB (count part),scale.WorldCuP.n.tdwg3,1.2063469133388793,0.08611645592516862,14.008320481594613,1.3864510405546883e-44
Zero-truncated NB (count part),scale.planting.China.tdwg3,0.07172596564175224,0.0848856599671003,0.8449715260451711,0.39812673711746704
Zero-truncated NB (count part),life.form.integratedannual herb,2.2029690780322553,0.2954207191284723,7.457056785087,8.847657884744119e-14
Zero-truncated NB (count part),life.form.integratedperennial herb,1.4317042545253125,0.24546151760665688,5.832703506785802,5.453642639573253e-9
Zero-truncated NB (count part),scale.native.global.tdwg3:life.form.integratedannual herb,0.34477945459724746,0.11319045233202171,3.0460118101295803,0.002318987261797678
Zero-truncated NB (count part),scale.native.global.tdwg3:life.form.integratedperennial herb,0.4202816161272621,0.0815532281940214,5.153463884070657,2.557183419341361e-7
Zero-truncated NB (count part),scale.WorldCuP.n.tdwg3:life.form.integratedannual herb,-0.4516106330676907,0.11366694553452904,-3.973104326362876,7.094195824361144e-5
Zero-truncated NB (count part),scale.WorldCuP.n.tdwg3:life.form.integratedperennial herb,-0.5131104718411617,0.10002482993625057,-5.1298309846483665,2.900024415131198e-7
Zero-truncated NB (count part),scale.planting.China.tdwg3:life.form.integratedannual herb,0.0695043493740978,0.10621908848164852,0.6543489533532014,0.5128870137838679
Zero-truncated NB (count part),scale.planting.China.tdwg3:life.form.integratedperennial herb,-0.02764509255980777,0.09969037083082465,-0.27730955687507386,0.7815424218987306
