term,Estimate,Std. Error,z value,Pr(>|z|),part
(Intercept),-1.9338572315182099,0.21161188327089622,-9.138698647856987,6.320833837648077e-20,count
scale.native.global.tdwg3,0.14073479277053433,0.06700065267223247,2.10049883333241,0.03568498313567322,count
scale.WorldCuP.n.tdwg3,1.2064011838191098,0.08029365661022783,15.024862918815407,5.046563105652944e-51,count
scale.planting.China.tdwg3,0.07164246103639599,0.08111153044982321,0.883258651872129,0.3770965385788514,count
life.form.integratedannual herb,2.203018931126046,0.30104371150020937,7.317937053551487,2.5181192291960074e-13,count
life.form.integratedperennial herb,1.4316175272656342,0.2388010072275208,5.995022985399897,2.0345666285451366e-9,count
scale.native.global.tdwg3:life.form.integratedannual herb,0.3447374609436438,0.12039739791109141,2.8633298304189134,0.004192139269117072,count
scale.native.global.tdwg3:life.form.integratedperennial herb,0.4202855238931193,0.08687221801947896,4.837973905522714,1.311693569220669e-6,count
scale.WorldCuP.n.tdwg3:life.form.integratedannual herb,-0.4517084677710711,0.10781866396699488,-4.189520173514176,2.7954493050528926e-5,count
scale.WorldCuP.n.tdwg3:life.form.integratedperennial herb,-0.5132127282105056,0.09665751741414638,-5.309599728405542,1.0986625387085701e-7,count
scale.planting.China.tdwg3:life.form.integratedannual herb,0.06959066023548652,0.10203288441861927,0.6820414872323987,0.49521271786039806,count
scale.planting.China.tdwg3:life.form.integratedperennial herb,-0.027545507389871833,0.09611382434829062,-0.2865925643542632,0.7744243085014587,count
Log(theta),-1.062726030886357,0.09473255985658252,-11.218170737655974,3.3206813970044674e-29,count
(Intercept),-5.429952004577273,0.15490966943025516,-35.052376165724084,3.5873206502859314e-269,zero
scale.native.global.tdwg3,0.7754057692580014,0.06189713464245879,12.52732899086586,5.2914903961401225e-36,zero
scale.WorldCuP.n.tdwg3,1.6327483991680398,0.07266132864091492,22.47066534162788,8.037814040949481e-112,zero
scale.planting.China.tdwg3,0.42617700922786156,0.07422647922669526,5.7415765056870525,9.379916351546595e-9,zero
life.form.integratedannual herb,2.0812882185016375,0.23779859762965333,8.752314938976335,2.0902010816716537e-18,zero
life.form.integratedperennial herb,1.1301570915802008,0.17691252938049765,6.388225274590338,1.6782198964486664e-10,zero
scale.native.global.tdwg3:life.form.integratedannual herb,0.7818494418302154,0.12214157979901058,6.401173483401669,1.5418725535088935e-10,zero
scale.native.global.tdwg3:life.form.integratedperennial herb,0.4025423456207985,0.07775033643863957,5.177371109364706,2.2503430705706551e-7,zero
scale.WorldCuP.n.tdwg3:life.form.integratedannual herb,-0.591095220961716,0.12395525346238162,-4.768617742701028,1.8549424809266013e-6,zero
scale.WorldCuP.n.tdwg3:life.form.integratedperennial herb,-0.7390238450697971,0.08707731196004849,-8.486985053108494,2.1206703153034067e-17,zero
scale.planting.China.tdwg3:life.form.integratedannual herb,-0.28875196184812696,0.11306100447532245,-2.5539483147892263,0.010650906544372596,zero
scale.planting.China.tdwg3:life.form.integratedperennial herb,-0.12152021676954518,0.08660500526136437,-1.4031546606666732,0.16057072436691106,zero
